date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-08-13,PAYTM,SHORT,0.7653,0.019015,0.024846,1150.0,1161.5,STOP,-0.01,-236.4,0.0,-0.021739
2025-08-13,BERGEPAINT,SHORT,0.6672,0.010787,0.016166,542.0,538.93,TRAILING,0.005662,76.84,0.010609,0.0
2025-08-14,PAYTM,SHORT,0.6964,0.011889,0.017072,1160.5,1143.09,TARGET,0.015,263.6,0.015252,-0.000345
2025-08-14,DIVISLAB,SHORT,0.6542,0.010272,0.015702,6155.0,6133.01,TRAILING,0.003572,35.05,0.010236,-0.008123
2025-08-18,ASHOKLEY,SHORT,0.6984,0.013785,0.019738,125.1,126.35,STOP,-0.01,-236.4,0.0,-0.01223
2025-08-18,NAUKRI,SHORT,0.7097,0.013482,0.018996,1390.0,1385.49,TRAILING,0.003242,28.45,0.008201,-0.007266
2025-08-18,SIEMENS,SHORT,0.6709,0.011538,0.017198,3213.9,3165.69,TARGET,0.015,263.6,0.023305,0.0
2025-08-18,ICICIPRULI,SHORT,0.6502,0.010154,0.015618,642.0,636.16,TRAILING,0.009089,145.38,0.014019,-0.002414
2025-08-19,INDIGO,LONG,0.6769,0.013093,0.019342,6060.0,6098.35,TRAILING,0.006329,90.18,0.011386,0.0
2025-08-20,PAYTM,LONG,0.6689,0.012815,0.019159,1223.0,1228.83,TRAILING,0.004763,58.86,0.012265,-0.002126
2025-08-20,ASHOKLEY,SHORT,0.7102,0.012389,0.017445,134.3,133.31,TRAILING,0.007347,110.55,0.012286,-7.4e-05
2025-08-20,MOTHERSON,SHORT,0.6844,0.011841,0.0173,99.69,99.23,TRAILING,0.004577,55.14,0.00953,0.0
2025-08-20,NAUKRI,LONG,0.6575,0.011236,0.017089,1365.0,1385.47,TARGET,0.015,263.6,0.015165,0.0
2025-08-20,NYKAA,SHORT,0.6538,0.010543,0.016125,228.0,226.98,TRAILING,0.004477,53.14,0.00943,0.0
2025-08-21,INDIGO,LONG,0.6821,0.011288,0.016548,6100.0,6039.0,STOP,-0.01,-236.4,0.004098,-0.012049
2025-08-21,MARICO,SHORT,0.6851,0.010555,0.015407,759.0,755.66,TRAILING,0.004401,51.62,0.009354,0.0
2025-08-21,LODHA,SHORT,0.6687,0.010551,0.015777,1313.0,1307.61,TRAILING,0.004109,45.77,0.009063,-0.001219
2025-08-21,GODREJPROP,SHORT,0.6517,0.009225,0.014155,2067.0,2057.03,TRAILING,0.004821,60.03,0.009773,0.0
2025-08-22,IDBI,SHORT,0.7096,0.013335,0.018791,97.53,96.07,TARGET,0.015,263.6,0.021532,0.0
